"","episode_number_overall","director","writer","rating","votes","type","fr"
"60",60,"Kiyomu Fukuda","Junki Takegami",6.6,292,"Filler",0.85
"61",61,"Atsushi Nigorikawa","Yasuyuki Suzuki",6.7,298,"Filler",0.88
"62",62,"Shigeharu Takahashi","Yasuyuki Suzuki",6.5,296,"Filler",0.85
"63",63,"Yuki Kinoshita","Masahiro Hikokubo",6.6,292,"Filler",0.85
"64",64,"Hiroshi Kimura","Yasuyuki Suzuki",6.6,288,"Filler",0.84
"65",65,"Shinji Satou","Masahiro Hikokubo",6.9,288,"Filler",0.88
"66",66,"Eitaro Ano","Yasuyuki Suzuki",6.7,288,"Filler",0.85
"67",67,"Masaaki Kumagai","Yasuyuki Suzuki",6.7,285,"Filler",0.84
"68",67,"Masaaki Kumagai","Masahiro Hikokubo",6.7,285,"Filler",0.84
"69",68,"Kiyomu Fukuda","Yasuyuki Suzuki",6.7,285,"Filler",0.84
"70",69,"Masaki Takano","Masahiro Hikokubo",6.5,290,"Filler",0.83
"71",70,"Shigeharu Takahashi","Yasuyuki Suzuki",6.6,292,"Filler",0.85
"72",71,"Atsushi Nigorikawa","Yasuyuki Suzuki",6.5,304,"Filler",0.87
"73",72,"Hiroshi Kimura","Masahiro Hikokubo",7.3,372,"Manga Canon",1.2
"74",73,"Masaki Takuno","Masahiro Hikokubo",7.6,403,"Manga Canon",1.35
"75",74,"Eitaro Ano","Masahiro Hikokubo",7.4,379,"Manga Canon",1.24
"76",75,"Masaaki Kumagai","Yasuyuki Suzuki",7.3,374,"Manga Canon",1.21
"77",76,"Kiyomu Fukuda","Yasuyuki Suzuki",7.6,389,"Manga Canon",1.31
"78",77,"Yuki Kinoshita","Masahiro Hikokubo",8.2,431,"Manga Canon",1.56
"79",78,"Shigeharu Takahashi","Masahiro Hikokubo",8.5,579,"Manga Canon",2.17
"80",79,"Atsushi Nigorikawa","Masahiro Hikokubo",8.6,562,"Manga Canon",2.13
"81",80,"Hiroshi Kimura","Masahiro Hikokubo",8.8,702,"Manga Canon",2.73
"82",81,"Shinji Satou","Masahiro Hikokubo",8,418,"Manga Canon",1.48
"83",82,"Toshiyuki Tsuru","Toshiyuki Tsuru",8.6,668,"Manga Canon",2.54
"84",83,"Takahiro Ono","Yuka Miyata",8.2,421,"Manga Canon",1.52
"85",84,"Kiyomu Fukuda","Yuka Miyata",8.5,488,"Manga Canon",1.83
"86",85,"Toshiyuki Tsuru","Toshiyuki Tsuru",8.6,576,"Manga Canon",2.19
"87",86,"Masaaki Kumagai","Yuka Miyata",8.8,659,"Manga Canon",2.56
"88",87,"Shigeharu Takahashi","Yasuyuki Suzuki",8.9,833,"Manga Canon",3.27
"89",88,"Atsushi Nigorikawa","Yasuyuki Suzuki",8.8,684,"Manga Canon",2.66
"90",89,"Hiroshi Kimura","Yuka Miyata",7.6,385,"Mixed Canon/Filler",1.29
"91",90,"Yuki Kinoshita","Junki Takegami",6.8,323,"Mixed Canon/Filler",0.97
"92",91,"Yuusuke Onoda","Masahiro Hikokubo",6.9,295,"Filler",0.9
"93",92,"Kunitoshi Okajima","Yasuyuki Suzuki",6.6,290,"Filler",0.84
"94",93,"Masaaki Kumagai","Shin Yoshida",6.4,287,"Filler",0.81
"95",93,"Masaaki Kumagai","Yasuyuki Suzuki",6.4,287,"Filler",0.81
"96",94,"Kiyomu Fukuda","Shin Yoshida",6.3,277,"Filler",0.77
"97",95,"Atsushi Nigorikawa","Shin Yoshida",6.3,278,"Filler",0.77
"98",95,"Atsushi Nigorikawa","Yuka Miyata",6.3,278,"Filler",0.77
"99",96,"Shigeharu Takahashi","Yuka Miyata",6.5,272,"Filler",0.78
"100",97,"Yuki Kinoshita","Junki Takegami",6.8,273,"Filler",0.82
"101",98,"Hiroshi Kimura","Shin Yoshida",6.8,272,"Filler",0.82
"102",99,"Yuusuke Onoda","Shin Yoshida",6.8,275,"Filler",0.83
"103",100,"Kunitoshi Okajima","Junki Takegami",6.5,272,"Filler",0.78
"104",100,"Kunitoshi Okajima","Shin Yoshida",6.5,272,"Filler",0.78
"105",101,"Masaaki Kumagai","Yuka Miyata",6.4,270,"Filler",0.76
